"Plant_ID","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","fid","spl_code","mg"
"","","","","","",7.15574837028373,46.7931196918804,113,"",NA
"Euphorbia milii Des Moul. var. milii","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_General.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel+Label.jpg",7.1556523906501,46.7931076303424,85,"dbgi_000126",NA
"Euphorbia grandidens Haw.","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_General.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel+Label.jpg",7.15573343083816,46.7930988404328,80,"dbgi_000127",NA
"Selenicereus coniflorus Britt. et Rose","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_General.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel+Label.jpg",7.15581009695961,46.7930806976046,74,"dbgi_000128",NA
"Pelargonium caffrum (Eckl. et Zeyh.) Harv.","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_General.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Panel+Label.jpg",7.15569239050759,46.7931157898057,95,"dbgi_000129",NA
"Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel+Label.jpg",7.155601580798,46.7930961265693,70,"dbgi_000506",NA
"Sansevieria cylindrica Bojer","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Panel.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_General.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Detail.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Cut.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Panel+Label.jpg",7.15572644191157,46.7931110045657,98,"dbgi_000512",NA
"Selenicereus hamatus (Scheidw.) Britton et Rose","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_General.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Panel+Label.jpg",7.15581369557891,46.7930997197979,103,"dbgi_000515",NA
"Pelargonium myrrhifolium (L.) L' Hr.","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_General.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel+Label.jpg",7.15561549969175,46.7931004710995,66,"dbgi_000562",NA
"Selenicereus grandiflorus Br. et R.","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_General.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel+Label.jpg",7.15558762868325,46.79310828798,73,"dbgi_000870",NA
"Aeonium mascaense D. Bramwell","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_General.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel+Label.jpg",7.15560998102538,46.7930933147125,67,"dbgi_000879",NA
"Aeonium haworthii Webb et Berthel.","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_General.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel+Label.jpg",7.1555923303998,46.7930966437636,71,"dbgi_000901",NA
"Dracaena draco (L.) L.","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Panel.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_General.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Detail.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Cut.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Panel+Label.jpg",7.15561049291093,46.7931142954632,89,"dbgi_000902",NA
"Simmondsia chinensis (Link) C.K. Schneid.","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Panel.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_General.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Detail.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Cut.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Panel+Label.jpg",7.15580157543432,46.7930994044535,102,"dbgi_000905",NA
"Lavandula canariensis Mill.","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_General.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Detail.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Cut.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel+Label.jpg",7.15563272343015,46.7930987520432,64,"dbgi_000906",NA
"Sansevieria stuckyi Godef.","DCIM/Succulent_greenhouse/Sansevieria stuckyi Godef._dbgi_000908_Panel.jpg","DCIM/Succulent_greenhouse/Sansevieria stuckyi Godef._dbgi_000908_General.jpg","DCIM/Succulent_greenhouse/Sansevieria stuckyi Godef._dbgi_000908_Detail.jpg","DCIM/Succulent_greenhouse/Sansevieria stuckyi Godef._dbgi_000908_Cut.jpg","DCIM/Succulent_greenhouse/Sansevieria stuckyi Godef._dbgi_000908_Panel+Label.jpg",7.15571582566897,46.7931090926534,97,"dbgi_000908",NA
"Machairophyllum albidum (L.) Schwantes","DCIM/JPEG_20230322150839355.jpg","DCIM/JPEG_20230322150850122.jpg","DCIM/JPEG_20230322150902469.jpg","DCIM/JPEG_20230322150915557.jpg","DCIM/JPEG_20230322150942820.jpg",7.15571926269704,46.793087319404,34,"dbgi_000910",NA
"Zephyranthes candida (Lindl.) Herb.","DCIM/JPEG_20230322100546623.jpg","DCIM/JPEG_20230322100610959.jpg","DCIM/JPEG_20230322100702373.jpg","DCIM/JPEG_20230322100823840.jpg","DCIM/JPEG_20230322101115709.jpg",7.15579013839755,46.7930745914923,14,"dbgi_000912",NA
"Lenophyllum texanum (J.G. Sm.) Rose","DCIM/JPEG_20230223114542353.jpg","DCIM/JPEG_20230223114559418.jpg","DCIM/JPEG_20230223114618419.jpg","DCIM/JPEG_20230223114647001.jpg","DCIM/JPEG_20230223114703631.jpg",7.15579449570483,46.7930713221936,7,"dbgi_000913",NA
"Pachyphytum compactum Rose","DCIM/JPEG_20230223115855405.jpg","DCIM/JPEG_20230223115903162.jpg","DCIM/JPEG_20230223115916926.jpg","DCIM/JPEG_20230223115924726.jpg","DCIM/JPEG_20230223115944556.jpg",7.1557791214149,46.7930712839729,10,"dbgi_000915",NA
"Sedum treleasei Rose","DCIM/JPEG_20230223105038604.jpg","DCIM/JPEG_20230223105102627.jpg","DCIM/JPEG_20230223105126941.jpg","DCIM/JPEG_20230223105202803.jpg","DCIM/JPEG_20230223105240092.jpg",7.15580757098498,46.7930694605005,2,"dbgi_000917",NA
"Sedum rubrotinctum R.T. Clausen","DCIM/JPEG_20230223112147003.jpg","DCIM/JPEG_20230223112211526.jpg","DCIM/JPEG_20230223112219939.jpg","DCIM/JPEG_20230223112247753.jpg","DCIM/JPEG_20230223112259416.jpg",7.15580422250837,46.793071383747,3,"dbgi_000919",NA
"Rhinephyllum graniforme (Haw.) L. Bolus","DCIM/JPEG_20230322151341087.jpg","DCIM/JPEG_20230322151350232.jpg","DCIM/JPEG_20230322151405669.jpg","DCIM/JPEG_20230322151421114.jpg","DCIM/JPEG_20230322151431180.jpg",7.15571646504662,46.7930861019268,35,"dbgi_000920",NA
"Sedum rubrotinctum R.T. Clausen","DCIM/JPEG_20230223112906489.jpg","DCIM/JPEG_20230223112943216.jpg","DCIM/JPEG_20230223112956522.jpg","DCIM/JPEG_20230223113028144.jpg","DCIM/JPEG_20230223113042614.jpg",7.15580410503673,46.7930713460815,4,"dbgi_000921",NA
"Pachyphytum oviferum J.A. Purpus","DCIM/JPEG_20230223120641294.jpg","DCIM/JPEG_20230223120651153.jpg","DCIM/JPEG_20230223120704433.jpg","DCIM/JPEG_20230223120712187.jpg","DCIM/JPEG_20230223120725257.jpg",7.15577631011605,46.7930712769838,12,"dbgi_000922",NA
"Echeveria x titubanus","DCIM/JPEG_20230322110804069.jpg","DCIM/JPEG_20230322110820299.jpg","DCIM/JPEG_20230322110838767.jpg","DCIM/JPEG_20230322110909883.jpg","DCIM/JPEG_20230322110933175.jpg",7.15575271925028,46.7930798366188,22,"dbgi_000923",NA
"Echeveria x pulchella A. Berger","DCIM/JPEG_20230322110200940.jpg","DCIM/JPEG_20230322110214792.jpg","DCIM/JPEG_20230322110234474.jpg","DCIM/JPEG_20230322110301324.jpg","DCIM/JPEG_20230322110323133.jpg",7.15575460483874,46.7930825754525,21,"dbgi_000924",NA
"Aloe arborescens Mill.","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_General.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Detail.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Cut.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel+Label.jpg",7.15575632460258,46.7930964565941,77,"dbgi_000925",NA
"Pachyphytum compactum Rose","DCIM/JPEG_20230322104907955.jpg","DCIM/JPEG_20230322104923993.jpg","DCIM/JPEG_20230322104939613.jpg","DCIM/JPEG_20230322104952272.jpg","DCIM/JPEG_20230322105025498.jpg",7.15576012521397,46.7930773285018,19,"dbgi_000926",NA
"Portulacaria afra Jacq.","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_General.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Detail.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Cut.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel+Label.jpg",7.15569082455743,46.7931061961553,84,"dbgi_000927",NA
"Haworthia venosa subsp. tessellata (Haw.) M.B. Bayer","DCIM/JPEG_20230323124050903.jpg","DCIM/JPEG_20230323124105038.jpg","DCIM/JPEG_20230323124112419.jpg","DCIM/JPEG_20230323124151953.jpg","DCIM/JPEG_20230323124217940.jpg",7.15566583667926,46.793087334992,55,"dbgi_000928",NA
"Aeonium canariense var. palmense (Christ) H.Y. Liu","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_General.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel+Label.jpg",7.15563111339203,46.7930930565919,65,"dbgi_000930",NA
"Gasteria nitida (Salm-Dyck) Haw. var. nitida","DCIM/JPEG_20230323092044486.jpg","DCIM/JPEG_20230323092101082.jpg","DCIM/JPEG_20230323092113617.jpg","DCIM/JPEG_20230323092156286.jpg","DCIM/JPEG_20230323092219425.jpg",7.15569804173712,46.7930830730358,40,"dbgi_000933",NA
"Crassula muscosa L. var. muscosa","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_General.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Detail.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Cut.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel+Label.jpg",7.15565435017503,46.7930950803518,60,"dbgi_000934",NA
"X Astroworthia bicarinata (Haw.) G.D. Rowley","DCIM/JPEG_20230323123346651.jpg","DCIM/JPEG_20230323123420043.jpg","DCIM/JPEG_20230323123427762.jpg","DCIM/JPEG_20230323123438820.jpg","DCIM/JPEG_20230323123455408.jpg",7.15566890335863,46.7930875683727,53,"dbgi_000935",NA
"Crassula mesembrianthemopsis Dinter","DCIM/JPEG_20230323125947496.jpg","DCIM/JPEG_20230323125956728.jpg","DCIM/JPEG_20230323130017961.jpg","DCIM/JPEG_20230323130048634.jpg","DCIM/JPEG_20230323130111185.jpg",7.15565769421797,46.7930938615957,59,"dbgi_000936",NA
"Pelargonium triste (L.) L'Hr.","DCIM/JPEG_20230323121542934.jpg","DCIM/JPEG_20230323121556874.jpg","DCIM/JPEG_20230323121612766.jpg","DCIM/JPEG_20230323121628136.jpg","DCIM/JPEG_20230323121641238.jpg",7.15568299670605,46.7930914874136,49,"dbgi_000937",NA
"Aichryson laxum (Haw.) Bramwell","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_General.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Detail.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Cut.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel+Label.jpg",7.15560423613336,46.793102784076,69,"dbgi_000939",NA
"Haworthia maxima (Haw.) Duval","DCIM/JPEG_20230323123729110.jpg","DCIM/JPEG_20230323123741724.jpg","DCIM/JPEG_20230323123750447.jpg","DCIM/JPEG_20230323123803357.jpg","DCIM/JPEG_20230323123816017.jpg",7.15566779261382,46.7930904251559,54,"dbgi_000942",NA
"Veltheimia capensis (L.) DC.","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_General.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Detail.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Cut.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel+Label.jpg",7.15564305084686,46.7930978171481,62,"dbgi_000943",NA
"Faucaria tigrina (Haw.) Schwantes","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Panel.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_General.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Detail.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Cut.jpg","DCIM/Succulent_greenhouse/Faucaria tigrina (Haw.) Schwantes_dbgi_000944_Panel+Label.jpg",7.15574866499093,46.7931125164112,119,"dbgi_000944",NA
"Pelargonium peltatum (L.) L'Hr.","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_General.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel+Label.jpg",7.15560159483856,46.7930987458474,72,"dbgi_000946",NA
"Haworthia mirabilis (Haw.) Haw.","DCIM/JPEG_20230323122458594.jpg","DCIM/JPEG_20230323122507843.jpg","DCIM/JPEG_20230323122518756.jpg","DCIM/JPEG_20230323122548222.jpg","DCIM/JPEG_20230323122604735.jpg",7.15567808276592,46.7930921815254,51,"dbgi_000947",NA
"Opuntia microdasys (Lehm.) Pfeiff.","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Panel.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_General.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Detail.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Cut.jpg","DCIM/Succulent_greenhouse/Opuntia microdasys (Lehm.) Pfeiff._dbgi_000948_Panel+Label.jpg",7.15576041548177,46.793105776547,100,"dbgi_000948",NA
"Gasteria carinata var. verrucosa (Mill.) Van Jaarsv.","DCIM/JPEG_20230323091552348.jpg","DCIM/JPEG_20230323091609669.jpg","DCIM/JPEG_20230323091624555.jpg","DCIM/JPEG_20230323091718434.jpg","DCIM/JPEG_20230323091737857.jpg",7.15570626498445,46.7930864379666,39,"dbgi_000949",NA
"Haworthia viscosa (L.) Haw.","DCIM/JPEG_20230323121917921.jpg","DCIM/JPEG_20230323121928437.jpg","DCIM/JPEG_20230323121944991.jpg","DCIM/JPEG_20230323122009614.jpg","DCIM/JPEG_20230323122034813.jpg",7.15567765927707,46.7930855292946,50,"dbgi_000950",NA
"Pelargonium abrotanifolium (L. f.) Jacq.","DCIM/JPEG_20230323124507732.jpg","DCIM/JPEG_20230323124522844.jpg","DCIM/JPEG_20230323124541717.jpg","DCIM/JPEG_20230323124613862.jpg","DCIM/JPEG_20230323124627139.jpg",7.15566462033507,46.7930894390006,56,"dbgi_000951",NA
"Cotyledon orbiculata L. var. orbiculata","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_General.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Detail.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Cut.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel+Label.jpg",7.15563841586003,46.7930931910887,63,"dbgi_000952",NA
"Pelargonium 'Dimeierii Lila'","DCIM/JPEG_20230323093523497.jpg","DCIM/JPEG_20230323093536478.jpg","DCIM/JPEG_20230323093606246.jpg","DCIM/JPEG_20230323093702439.jpg","DCIM/JPEG_20230323093735693.jpg",7.15573355487859,46.7930824330763,43,"dbgi_000953",NA
"Rabiea albinota (Haw.) N.E. Br.","DCIM/JPEG_20230322150143755.jpg","DCIM/JPEG_20230322150201133.jpg","DCIM/JPEG_20230322150229005.jpg","DCIM/JPEG_20230322150301876.jpg","DCIM/JPEG_20230322150334826.jpg",7.15572279608731,46.7930875766901,33,"dbgi_000954",NA
"Fockea edulis (Thunb.) K.Schum.","DCIM/JPEG_20230323122926786.jpg","DCIM/JPEG_20230323122943149.jpg","DCIM/JPEG_20230323122951564.jpg","DCIM/JPEG_20230323123018168.jpg","DCIM/JPEG_20230323123037241.jpg",7.15567197003803,46.7930878017532,52,"dbgi_000955",NA
"Canarina canariensis (L.) Vatke","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_General.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Detail.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Cut.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel+Label.jpg",7.15563969554069,46.7930882938963,61,"dbgi_000956",NA
"Crassula deceptor Schnland et Baker f.","DCIM/JPEG_20230323125501027.jpg","DCIM/JPEG_20230323125510242.jpg","DCIM/JPEG_20230323125537255.jpg","DCIM/JPEG_20230323125548672.jpg","DCIM/JPEG_20230323125607269.jpg",7.15566350205131,46.793093725538,58,"dbgi_000957",NA
"Oscularia deltoides (L.) Schwantes","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Panel.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_General.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Detail.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Cut.jpg","DCIM/Succulent_greenhouse/Oscularia deltoides (L.) Schwantes_dbgi_000958_Panel+Label.jpg",7.15563780390185,46.7931210591364,93,"dbgi_000958",NA
