"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
"85","Euphorbia milii Des Moul. var. milii","dbgi_000126","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_General.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel+Label.jpg","7.1556523906501","46.7931076303424","NA"
"80","Euphorbia grandidens Haw.","dbgi_000127","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_General.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel+Label.jpg","7.15573343083816","46.7930988404328","NA"
"74","Selenicereus coniflorus Britt. et Rose","dbgi_000128","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_General.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel+Label.jpg","7.15581009695961","46.7930806976046","NA"
"70","Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu","dbgi_000506","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel+Label.jpg","7.155601580798","46.7930961265693","50,5"
"66","Pelargonium myrrhifolium (L.) L' Hr.","dbgi_000562","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_General.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel+Label.jpg","7.15561549969175","46.7931004710995","50,5"
"73","Selenicereus grandiflorus Br. et R.","dbgi_000870","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_General.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel+Label.jpg","7.15558762868325","46.79310828798","NA"
"67","Aeonium mascaense D. Bramwell","dbgi_000879","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_General.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel+Label.jpg","7.15560998102538","46.7930933147125","50"
"71","Aeonium haworthii Webb et Berthel.","dbgi_000901","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_General.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel+Label.jpg","7.1555923303998","46.7930966437636","NA"
"64","Lavandula canariensis Mill.","dbgi_000906","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_General.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Detail.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Cut.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel+Label.jpg","7.15563272343015","46.7930987520432","52"
"34","Machairophyllum albidum (L.) Schwantes","dbgi_000910","DCIM/JPEG_20230322150839355.jpg","DCIM/JPEG_20230322150850122.jpg","DCIM/JPEG_20230322150902469.jpg","DCIM/JPEG_20230322150915557.jpg","DCIM/JPEG_20230322150942820.jpg","7.15571926269704","46.793087319404","51"
"14","Zephyranthes candida (Lindl.) Herb.","dbgi_000912","DCIM/JPEG_20230322100546623.jpg","DCIM/JPEG_20230322100610959.jpg","DCIM/JPEG_20230322100702373.jpg","DCIM/JPEG_20230322100823840.jpg","DCIM/JPEG_20230322101115709.jpg","7.15579013839755","46.7930745914923","50"
"7","Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000913","DCIM/JPEG_20230223114542353.jpg","DCIM/JPEG_20230223114559418.jpg","DCIM/JPEG_20230223114618419.jpg","DCIM/JPEG_20230223114647001.jpg","DCIM/JPEG_20230223114703631.jpg","7.15579449570483","46.7930713221936","NA"
"10","Pachyphytum compactum Rose","dbgi_000915","DCIM/JPEG_20230223115855405.jpg","DCIM/JPEG_20230223115903162.jpg","DCIM/JPEG_20230223115916926.jpg","DCIM/JPEG_20230223115924726.jpg","DCIM/JPEG_20230223115944556.jpg","7.1557791214149","46.7930712839729","NA"
"2","Sedum treleasei Rose","dbgi_000917","DCIM/JPEG_20230223105038604.jpg","DCIM/JPEG_20230223105102627.jpg","DCIM/JPEG_20230223105126941.jpg","DCIM/JPEG_20230223105202803.jpg","DCIM/JPEG_20230223105240092.jpg","7.15580757098498","46.7930694605005","NA"
"3","Sedum rubrotinctum R.T. Clausen","dbgi_000919","DCIM/JPEG_20230223112147003.jpg","DCIM/JPEG_20230223112211526.jpg","DCIM/JPEG_20230223112219939.jpg","DCIM/JPEG_20230223112247753.jpg","DCIM/JPEG_20230223112259416.jpg","7.15580422250837","46.793071383747","NA"
"35","Rhinephyllum graniforme (Haw.) L. Bolus","dbgi_000920","DCIM/JPEG_20230322151341087.jpg","DCIM/JPEG_20230322151350232.jpg","DCIM/JPEG_20230322151405669.jpg","DCIM/JPEG_20230322151421114.jpg","DCIM/JPEG_20230322151431180.jpg","7.15571646504662","46.7930861019268","NA"
"4","Sedum rubrotinctum R.T. Clausen","dbgi_000921","DCIM/JPEG_20230223112906489.jpg","DCIM/JPEG_20230223112943216.jpg","DCIM/JPEG_20230223112956522.jpg","DCIM/JPEG_20230223113028144.jpg","DCIM/JPEG_20230223113042614.jpg","7.15580410503673","46.7930713460815","NA"
"12","Pachyphytum oviferum J.A. Purpus","dbgi_000922","DCIM/JPEG_20230223120641294.jpg","DCIM/JPEG_20230223120651153.jpg","DCIM/JPEG_20230223120704433.jpg","DCIM/JPEG_20230223120712187.jpg","DCIM/JPEG_20230223120725257.jpg","7.15577631011605","46.7930712769838","NA"
"22","Echeveria x titubanus","dbgi_000923","DCIM/JPEG_20230322110804069.jpg","DCIM/JPEG_20230322110820299.jpg","DCIM/JPEG_20230322110838767.jpg","DCIM/JPEG_20230322110909883.jpg","DCIM/JPEG_20230322110933175.jpg","7.15575271925028","46.7930798366188","NA"
"21","Echeveria x pulchella A. Berger","dbgi_000924","DCIM/JPEG_20230322110200940.jpg","DCIM/JPEG_20230322110214792.jpg","DCIM/JPEG_20230322110234474.jpg","DCIM/JPEG_20230322110301324.jpg","DCIM/JPEG_20230322110323133.jpg","7.15575460483874","46.7930825754525","50"
"77","Aloe arborescens Mill.","dbgi_000925","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_General.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Detail.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Cut.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel+Label.jpg","7.15575632460258","46.7930964565941","NA"
"19","Pachyphytum compactum Rose","dbgi_000926","DCIM/JPEG_20230322104907955.jpg","DCIM/JPEG_20230322104923993.jpg","DCIM/JPEG_20230322104939613.jpg","DCIM/JPEG_20230322104952272.jpg","DCIM/JPEG_20230322105025498.jpg","7.15576012521397","46.7930773285018","48,5"
"84","Portulacaria afra Jacq.","dbgi_000927","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_General.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Detail.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Cut.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel+Label.jpg","7.15569082455743","46.7931061961553","NA"
"55","Haworthia venosa subsp. tessellata (Haw.) M.B. Bayer","dbgi_000928","DCIM/JPEG_20230323124050903.jpg","DCIM/JPEG_20230323124105038.jpg","DCIM/JPEG_20230323124112419.jpg","DCIM/JPEG_20230323124151953.jpg","DCIM/JPEG_20230323124217940.jpg","7.15566583667926","46.793087334992","NA"
"65","Aeonium canariense var. palmense (Christ) H.Y. Liu","dbgi_000930","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_General.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel+Label.jpg","7.15563111339203","46.7930930565919","47,5"
"40","Gasteria nitida (Salm-Dyck) Haw. var. nitida","dbgi_000933","DCIM/JPEG_20230323092044486.jpg","DCIM/JPEG_20230323092101082.jpg","DCIM/JPEG_20230323092113617.jpg","DCIM/JPEG_20230323092156286.jpg","DCIM/JPEG_20230323092219425.jpg","7.15569804173712","46.7930830730358","NA"
"60","Crassula muscosa L. var. muscosa","dbgi_000934","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_General.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Detail.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Cut.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel+Label.jpg","7.15565435017503","46.7930950803518","NA"
"53","X Astroworthia bicarinata (Haw.) G.D. Rowley","dbgi_000935","DCIM/JPEG_20230323123346651.jpg","DCIM/JPEG_20230323123420043.jpg","DCIM/JPEG_20230323123427762.jpg","DCIM/JPEG_20230323123438820.jpg","DCIM/JPEG_20230323123455408.jpg","7.15566890335863","46.7930875683727","NA"
"59","Crassula mesembrianthemopsis Dinter","dbgi_000936","DCIM/JPEG_20230323125947496.jpg","DCIM/JPEG_20230323125956728.jpg","DCIM/JPEG_20230323130017961.jpg","DCIM/JPEG_20230323130048634.jpg","DCIM/JPEG_20230323130111185.jpg","7.15565769421797","46.7930938615957","51,5"
"49","Pelargonium triste (L.) L'Hr.","dbgi_000937","DCIM/JPEG_20230323121542934.jpg","DCIM/JPEG_20230323121556874.jpg","DCIM/JPEG_20230323121612766.jpg","DCIM/JPEG_20230323121628136.jpg","DCIM/JPEG_20230323121641238.jpg","7.15568299670605","46.7930914874136","50"
"69","Aichryson laxum (Haw.) Bramwell","dbgi_000939","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_General.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Detail.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Cut.jpg","DCIM/Succulent_greenhouse/Aichryson laxum (Haw.) Bramwell_dbgi_000939_Panel+Label.jpg","7.15560423613336","46.793102784076","52"
"54","Haworthia maxima (Haw.) Duval","dbgi_000942","DCIM/JPEG_20230323123729110.jpg","DCIM/JPEG_20230323123741724.jpg","DCIM/JPEG_20230323123750447.jpg","DCIM/JPEG_20230323123803357.jpg","DCIM/JPEG_20230323123816017.jpg","7.15566779261382","46.7930904251559","NA"
"62","Veltheimia capensis (L.) DC.","dbgi_000943","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_General.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Detail.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Cut.jpg","DCIM/Succulent_greenhouse/Veltheimia capensis (L.) DC._dbgi_000943_Panel+Label.jpg","7.15564305084686","46.7930978171481","50"
"72","Pelargonium peltatum (L.) L'Hr.","dbgi_000946","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_General.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium peltatum (L.) L'Hr._dbgi_000946_Panel+Label.jpg","7.15560159483856","46.7930987458474","51,5"
"51","Haworthia mirabilis (Haw.) Haw.","dbgi_000947","DCIM/JPEG_20230323122458594.jpg","DCIM/JPEG_20230323122507843.jpg","DCIM/JPEG_20230323122518756.jpg","DCIM/JPEG_20230323122548222.jpg","DCIM/JPEG_20230323122604735.jpg","7.15567808276592","46.7930921815254","NA"
"39","Gasteria carinata var. verrucosa (Mill.) Van Jaarsv.","dbgi_000949","DCIM/JPEG_20230323091552348.jpg","DCIM/JPEG_20230323091609669.jpg","DCIM/JPEG_20230323091624555.jpg","DCIM/JPEG_20230323091718434.jpg","DCIM/JPEG_20230323091737857.jpg","7.15570626498445","46.7930864379666","NA"
"50","Haworthia viscosa (L.) Haw.","dbgi_000950","DCIM/JPEG_20230323121917921.jpg","DCIM/JPEG_20230323121928437.jpg","DCIM/JPEG_20230323121944991.jpg","DCIM/JPEG_20230323122009614.jpg","DCIM/JPEG_20230323122034813.jpg","7.15567765927707","46.7930855292946","48"
"56","Pelargonium abrotanifolium (L. f.) Jacq.","dbgi_000951","DCIM/JPEG_20230323124507732.jpg","DCIM/JPEG_20230323124522844.jpg","DCIM/JPEG_20230323124541717.jpg","DCIM/JPEG_20230323124613862.jpg","DCIM/JPEG_20230323124627139.jpg","7.15566462033507","46.7930894390006","NA"
"63","Cotyledon orbiculata L. var. orbiculata","dbgi_000952","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_General.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Detail.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Cut.jpg","DCIM/Succulent_greenhouse/Cotyledon orbiculata L._dbgi_000952_Panel+Label.jpg","7.15563841586003","46.7930931910887","49"
"43","Pelargonium 'Dimeierii Lila'","dbgi_000953","DCIM/JPEG_20230323093523497.jpg","DCIM/JPEG_20230323093536478.jpg","DCIM/JPEG_20230323093606246.jpg","DCIM/JPEG_20230323093702439.jpg","DCIM/JPEG_20230323093735693.jpg","7.15573355487859","46.7930824330763","50"
"33","Rabiea albinota (Haw.) N.E. Br.","dbgi_000954","DCIM/JPEG_20230322150143755.jpg","DCIM/JPEG_20230322150201133.jpg","DCIM/JPEG_20230322150229005.jpg","DCIM/JPEG_20230322150301876.jpg","DCIM/JPEG_20230322150334826.jpg","7.15572279608731","46.7930875766901","NA"
"52","Fockea edulis (Thunb.) K.Schum.","dbgi_000955","DCIM/JPEG_20230323122926786.jpg","DCIM/JPEG_20230323122943149.jpg","DCIM/JPEG_20230323122951564.jpg","DCIM/JPEG_20230323123018168.jpg","DCIM/JPEG_20230323123037241.jpg","7.15567197003803","46.7930878017532","50"
"61","Canarina canariensis (L.) Vatke","dbgi_000956","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_General.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Detail.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Cut.jpg","DCIM/Succulent_greenhouse/Canarina canariensis (L.) Vatke_dbgi_000956_Panel+Label.jpg","7.15563969554069","46.7930882938963","50,5"
"58","Crassula deceptor Schnland et Baker f.","dbgi_000957","DCIM/JPEG_20230323125501027.jpg","DCIM/JPEG_20230323125510242.jpg","DCIM/JPEG_20230323125537255.jpg","DCIM/JPEG_20230323125548672.jpg","DCIM/JPEG_20230323125607269.jpg","7.15566350205131","46.793093725538","NA"
"57","Crassula perforata Thunb.","dbgi_000961","DCIM/JPEG_20230323125009421.jpg","DCIM/JPEG_20230323125020621.jpg","DCIM/JPEG_20230323125042513.jpg","DCIM/JPEG_20230323125130458.jpg","DCIM/JPEG_20230323125146115.jpg","7.15566233649403","46.7930861975187","51"
"68","Aeonium arboreum (L.) Webb et Berthel. var. arboreum","dbgi_000962","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum (L.) Webb et Berthel. var. arboreum_dbgi_000962_Panel+Label.jpg","7.15560940257153","46.7931008559078","50,5"
"44","Pelargonium laxum (Sweet) G. Don","dbgi_000965","DCIM/JPEG_20230323094043720.jpg","DCIM/JPEG_20230323094055587.jpg","DCIM/JPEG_20230323094112317.jpg","DCIM/JPEG_20230323094133166.jpg","DCIM/JPEG_20230323094200828.jpg","7.15568761248221","46.793085535446","51,5"
"45","Pelargonium bowkeri Harv.","dbgi_000966","DCIM/JPEG_20230323094553610.jpg","DCIM/JPEG_20230323094619447.jpg","DCIM/JPEG_20230323094635542.jpg","DCIM/JPEG_20230323094706950.jpg","DCIM/JPEG_20230323094728016.jpg","7.15568778690792","46.7930916371163","52"
"1","Sedum palmeri S. Watson","dbgi_000969","DCIM/JPEG_20230223103135576.jpg","DCIM/JPEG_20230223103146599.jpg","DCIM/JPEG_20230223103218459.jpg","DCIM/JPEG_20230223103302621.jpg","DCIM/JPEG_20230223103319230.jpg","7.15580669157237","46.7930700172806","NA"
"25","Echeveria elegans Rose","dbgi_000970","DCIM/JPEG_20230322135653282.jpg","DCIM/JPEG_20230322135744289.jpg","DCIM/JPEG_20230322135811618.jpg","DCIM/JPEG_20230322135922546.jpg","DCIM/JPEG_20230322140012706.jpg","7.15574292559494","46.7930837200618","50,5"
"36","Haemanthus albiflos Jacq.","dbgi_000972","DCIM/JPEG_20230323085047133.jpg","DCIM/JPEG_20230323085101169.jpg","DCIM/JPEG_20230323085119416.jpg","DCIM/JPEG_20230323085139806.jpg","DCIM/JPEG_20230323085203024.jpg","7.15571461826506","46.7930815102855","50,5"
"28","Senecio citriformis G.D. Rowley","dbgi_000973","DCIM/JPEG_20230322141706786.jpg","DCIM/JPEG_20230322141718979.jpg","DCIM/JPEG_20230322141742514.jpg","DCIM/JPEG_20230322141756241.jpg","DCIM/JPEG_20230322141813796.jpg","7.15573570507605","46.7930856279367","NA"
"23","Echeveria leucotricha J.A. Purpus","dbgi_000976","DCIM/JPEG_20230322111259304.jpg","DCIM/JPEG_20230322111309512.jpg","DCIM/JPEG_20230322111325350.jpg","DCIM/JPEG_20230322111349418.jpg","DCIM/JPEG_20230322111410109.jpg","7.15574955225598","46.7930798908843","49"
"79","Gasteria excelsa Baker","dbgi_000977","DCIM/Succulent_greenhouse/Gasteria excelsa Baker_dbgi_000977_Panel.jpg","DCIM/Succulent_greenhouse/Gasteria excelsa Baker_dbgi_000977_General.jpg","DCIM/Succulent_greenhouse/Gasteria excelsa Baker_dbgi_000977_Detail.jpg","DCIM/Succulent_greenhouse/Gasteria excelsa Baker_dbgi_000977_Cut.jpg","DCIM/Succulent_greenhouse/Gasteria excelsa Baker_dbgi_000977_Panel+Label.jpg","7.15574171865032","46.7930981457114","NA"
"27","Senecio articulatus (L. f.) Sch. Bip.","dbgi_000978 hi ","DCIM/JPEG_20230322141134435.jpg","DCIM/JPEG_20230322141205676.jpg","DCIM/JPEG_20230322141228681.jpg","DCIM/JPEG_20230322141249530.jpg","DCIM/JPEG_20230322141318754.jpg","7.15573892157559","46.7930833799642","48"
"37","Gasteria rawlinsonii Oberm.","dbgi_000979","DCIM/JPEG_20230323085726820.jpg","DCIM/JPEG_20230323085742011.jpg","DCIM/JPEG_20230323085757798.jpg","DCIM/JPEG_20230323085814715.jpg","DCIM/JPEG_20230323085831440.jpg","7.15571349381657","46.7930872430425","48,5"
"48","Pelargonium klinghardtense R. Knuth","dbgi_000980","DCIM/JPEG_20230323121148562.jpg","DCIM/JPEG_20230323121201498.jpg","DCIM/JPEG_20230323121220375.jpg","DCIM/JPEG_20230323121237796.jpg","DCIM/JPEG_20230323121300831.jpg","7.15568345084293","46.7930884784948","49"
"47","Pelargonium tongaense Vorster","dbgi_000982","DCIM/JPEG_20230323120626407.jpg","DCIM/JPEG_20230323120639800.jpg","DCIM/JPEG_20230323120709832.jpg","DCIM/JPEG_20230323120805179.jpg","DCIM/JPEG_20230323120823067.jpg","7.15568642922624","46.7930883020758","49"
"38","Gasteria pillansii Kensit","dbgi_000983","DCIM/JPEG_20230323091038997.jpg","DCIM/JPEG_20230323091101398.jpg","DCIM/JPEG_20230323091122572.jpg","DCIM/JPEG_20230323091159842.jpg","DCIM/JPEG_20230323091224573.jpg","7.1557067077617","46.7930812513993","NA"
"17","Callisia navicularis (Ortgies) D.R. Hunt","dbgi_000984","DCIM/JPEG_20230322103439835.jpg","DCIM/JPEG_20230322103454538.jpg","DCIM/JPEG_20230322103514950.jpg","DCIM/JPEG_20230322103529749.jpg","DCIM/JPEG_20230322103553066.jpg","7.15576863419015","46.7930795882648","NA"
"20","Echeveria bicolor (Kunth) E. Walther","dbgi_000987","DCIM/JPEG_20230322105519107.jpg","DCIM/JPEG_20230322105535548.jpg","DCIM/JPEG_20230322105743230.jpg","DCIM/JPEG_20230322105802253.jpg","DCIM/JPEG_20230322105824478.jpg","7.15575842809361","46.7930781730416","NA"
